Feature;Description;Keywords
User;Include sign up, log in, view and manage user information;user,signin,signup,profile,member
Transaction;Include CRUD, reports, lists, approve and decline;transaction,spend,income,outcome,expense,report_detail,tracking,momo,wallet
SharedBudget;Include CRUD, reports, lists, members, amount update;sharedBudget,budget
GroupSaving;Include CRUD, reports, lists, members, amount update;groupsaving,saving
Invitation;Include CRUD, accept, cancel;invitation, invite
FinancialChallenge;Include CRUD, amount update, progress tracking, reward allocation;challenge,checkpoint,progress,reward,point,leaderboard
Assets;Different assets used when rendering the application;asset,res,png,svg
Other;Include configuration, home page, and other contents used in many features
